Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Rhizobium sp. Khangiran2,,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,
Azospirillum brasilense,,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,
Neisseria mucosa,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,
Oscillatoria nigro-viridis,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,
Pseudomonas rhizosphaerae,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,0.07692307692307693,,
Erwinia gerundensis,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,
Pseudomonas moraviensis,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Pseudomonas graminis,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Pantoea sp. SO10,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,0.15384615384615385,,
Bacillus cereus,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Paenibacillus odorifer,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Azospira sp. I09,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,
Dechlorosoma suillum,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,
Lysobacter oculi,,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,
Proteus mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,
Friedmanniella sagamiharensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,
Pantoea agglomerans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615385,,
Leclercia sp. 29361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
